arb_id,name,also_known_as,listed_first,listed_last,country,born_year,female,attorney,academic,public_bodies,sport_bodies,associated_with,case_nums,n_cases,first_appointment,latest_appointment,delisted,delisted_age,years_listed
97,David W. Rivkin,NA,2002,2019,USA,1955,0,1,0,0,0,NA,"1051,1175,1394,1607,1480,1926, 1930,2252,5086,OG 04-008,OG 04-006,884,2658,2621,2422,3361,4643,376,362,OG 02-002,452,1190,1286, 1288, 1289,1489, 1510,OG 08-004,OG 08-007,2960,2696,5124",28,2002-02-08,2018-02-09,TRUE,64,17
98,Deon Van Zyl,NA,2002,NA,ZAF,1943,0,1,1,0,1,"Athletics South Africa (ASA),National Olympic Committee of South Africa (NOCSA)","CG 02-001,OG 04-001,OG 04-009,OG 08-001,OG 04-007,OG 08-006",6,2002-08-02,2008-08-09,FALSE,NA,NA
99,Eduardo Moline O'Connor,Eduardo Moliné O’Connor,2002,2006,ARG,1938,0,1,0,0,1,"Argentine Tennis Association,ITF",NA,0,NA,NA,TRUE,68,4
100,Edward Rathushny,Edward Ratushny,2002,2007,CAN,1942,0,1,1,0,0,NA,1312,1,2008-05-16,2008-05-16,TRUE,65,5
101,Edward T. Colbert,Edward Colbert,2002,NA,USA,1947,0,1,0,0,0,"USOC,IOC",NA,0,NA,NA,FALSE,NA,NA
102,Ercus Stewart,NA,2002,2023,IRL,1949,0,1,1,0,1,Irish Sports Council,"4153,5661,1557,1557-O,1557-R,4664,676,969,1558, 1578,2161,2361,2403,3251,4286,6319,6213",16,2004-12-15,2020-07-02,TRUE,74,21
103,François Klein,NA,2002,NA,FRA,1951,0,1,0,0,1,"Direction Nationale du Contrôle de Gestion (DNCG),Ligue française de Football Professionnel (LPF)","530,791,791-PA,708, 709, 713,1957,2961,2830,2705,2705-O,2707,3332,3331,3330,3329,3309,3471,3343, 3344, 3348, 3349,3547,3542,3803,4516,6132, 6146,916-O2,1125,1960, 1961,2433,2557,3588,3909,5172,6623,6694,1631,1631-O,1973,2305,2568,2366,3027,3794,3610,3609,3947,4848,5912",45,2004-08-27,2020-09-15,FALSE,NA,NA
104,Georg Engelbrecht,NA,2002,2019,DEU,1940,0,1,0,0,0,NA,"2245,607,1102, 1146,1464, 1467,1463, 1466",5,2004-12-06,2011-04-11,TRUE,79,17
105,Gerd Niebaum,NA,2002,2003,DEU,1948,0,1,0,0,0,BV Borussia 09 Dortmund,NA,0,NA,NA,TRUE,55,1
106,Gerhardt Bubnik,NA,2002,2019,CZE,1935,0,1,0,0,0,"Bubník and Myslil,ISU","1183,362,3249,2046",4,2002-08-27,2014-03-31,TRUE,84,17
107,Glenn Wong,NA,2002,NA,USA,1952,0,1,1,0,0,"NFL,MLB",NA,0,NA,NA,FALSE,NA,NA
108,Guido Valori,NA,2002,2023,ITA,1958,0,1,1,0,1,CONI,"1565,1901,1677,1471, 1486,2684",5,2008-11-04,2012-09-14,TRUE,65,21
109,Gyula Dávid,NA,2002,NA,HUN,1948,0,1,0,0,0,NA,"1757,2797,3877,1181",4,2007-05-14,2015-08-03,FALSE,NA,NA
110,Hans Bodmer,NA,2002,2003,CHE,1955,0,1,0,0,0,von Meiss Blum & Partners,NA,0,NA,NA,TRUE,48,1
111,Hendrik Willem Kesler,Hendrik Kasler,2002,NA,NLD,1949,0,1,0,0,1,"JPR lawyer,KNVB,UEFA","1453, 1469,1453-O,1503,1784,3411,4605,5356,5324,5982,8488,8413,8371,969,1404,1674,1674-O,1909,2317, 2323,2449,2985,3172,3321,3577,4495, 4535,5077,5448, 5449, 5450,5933,6517,1112,1429, 1442,1419,1328,1232,1205,1303,1218,1602,1568,1620,1997, 1998,1850,2653,2603,2910,2899,2896,2844,3013,2750,2875,3383, 3384, 3385,3090,3119,3823,3555,3613,3562,3701,3602,4112,3951,3950,4184,4311,4790,4654,5011,5058,5031,5771, 5772,6007,5959,5950,5898,6665,6432,6727,7266,6171, 6175",79,2006-05-05,2022-06-10,FALSE,NA,NA
112,Henry Jolson,NA,2002,2012,AUS,1947,0,1,0,1,1,NA,1561,1,2008-09-29,2008-09-29,TRUE,65,10
113,Hernán Jorge Ferrari,"Hermán J. Ferrari,Herman Ferrari",2002,2019,ARG,1937,0,1,1,0,1,Argentina Olympic Committee,"1204,2646,2985,3012,3380,3054,3959,1482,2463,3620,3962,4384,565, 566",13,2005-05-02,2016-12-07,TRUE,82,17
114,Ian Blackshaw,NA,2002,2006,GBR,1945,0,1,1,0,0,NA,455,1,2003-08-21,2003-08-21,TRUE,61,4
115,Ivaylo Dermendjiev,NA,2002,NA,BGR,1962,0,1,0,0,0,NA,"3863,4871,OG 04-005,2344,3553,4361,4288,3957,4181,4814,4656,4560,4544,4379,5228,5092,5322,5459,5277,5195,5711,5929",22,2004-08-20,2019-10-07,FALSE,NA,NA
116,James H. Carter,James Carter,2002,NA,USA,1943,0,1,0,0,0,"Wilmer Cutler Pickering Hale and Dorr,NFL",NA,0,NA,NA,FALSE,NA,NA
117,James Michael Murphy,James Murphy,2002,NA,USA,1943,0,0,0,0,1,USA Track & Field,"448,4179",2,2003-10-02,2016-05-02,FALSE,NA,NA
118,James Robert Reid,NA,2002,2023,GBR,1943,0,0,0,0,0,NA,"2924,3497,4511,4924, 4943,455,2277,2364,2362,3279,3467,4921, 4922,4417, 4419, 4420,4703,4684,1355,1551,1971,1985,1914,2293,2245,2592,3041,2843,2725,3080,3480,3869,3868,3734,3485,4129,4024,3977,3971,3970,3899",37,2003-08-21,2017-08-21,TRUE,80,21
119,Javier Ostos-Mora,NA,2002,2007,MEX,1916,0,1,0,0,1,"FINA,IOC",NA,0,NA,NA,TRUE,91,5
120,Javier Parquet Villagra,NA,2002,2010,PRY,1962,0,1,1,0,1,Paraguayan Karate Association,2043,1,2010-09-30,2010-09-30,TRUE,48,8
121,Jean-François Lachaume,NA,2002,2002,FRA,1937,0,0,1,0,0,NA,NA,0,NA,NA,TRUE,65,0
122,Jeffrey G. Benz,NA,2002,NA,USA,1968,0,1,0,0,1,"Coudert Brothers,USOC","1318,2612,2518,2912,2804,2785, 2790,3327, 3335,3170,3685,3670-IA,3572,3571,3487,4163,4024,3971,3970,3925,4828,4777,4761,4758,4676,4643,4458,4770,4703,4684,5178,5830,6109,7768,OG 22-008, 009, 010,8871,8709,8708,1416,1490,2645,2515,2495-2498,2959,2924,4256,3977,4840,4658,4655,4596,5341,5320,5296,5015, 5110,5546, 5571,8865, 8866, 8867, 8868,4208,4377,5175-PA,5784,5739,6420,6482,OG 22-005,OG 22-002",64,2007-08-11,2022-11-25,FALSE,NA,NA
123,Jeffrey Spender,NA,2002,2007,AUS,1941,0,1,0,0,1,Queensland Amateur Fencing Association,NA,0,NA,NA,TRUE,66,5
124,Jerrold Cripps,NA,2002,2015,AUS,1933,0,1,0,0,0,Allen Allen & Hemsley,"2001,2837,A1-2015",3,2010-03-22,2015-10-02,TRUE,82,13
125,Jin Huang,NA,2002,2014,CHN,1958,0,0,1,0,0,NA,"OG 04-004,3057",2,2004-08-15,2014-01-22,TRUE,56,12
126,Johan Evensen,NA,2002,2006,DNK,1945,0,1,0,1,0,NA,527,1,2004-04-21,2004-04-21,TRUE,61,4
127,John Francis Boultbee,John F. Boultbee,2002,NA,AUS,1950,0,1,0,0,1,"FISA,Football Federation Australia","361,3407,ADD 21",3,2002-02-19,2022-03-22,FALSE,NA,NA
128,John Wendt,John T. Wendt,2002,NA,USA,1951,0,0,1,0,0,NA,NA,0,NA,NA,FALSE,NA,NA
129,John Wood,NA,2002,2002,GBR,1928,0,1,0,0,0,NA,NA,0,NA,NA,TRUE,74,0
130,José A. Axtmayer,José Alberto Axtmayer,2002,2010,"PRI,USA",1950,0,1,0,0,0,Axtmayer Adsuar Muñiz & Goyco,"2229,1037,1117",3,2007-02-12,2011-04-28,TRUE,60,8
131,José Maria Caroz Ortiz,NA,2002,2002,ESP,1960,0,1,0,0,0,NA,NA,0,NA,NA,TRUE,42,0
132,José María Mesalles Mata,José Mesalles Mata,2002,2007,ESP,1956,0,1,0,0,1,"Buffete Mesalles,Royal Spanish Handball Federation","1329, 1330",1,2007-12-05,2007-12-05,TRUE,51,5
133,Juan Vives R. De Hinojosa,Juan Vives Rodriguez de Hinojosa Jr,2002,2007,ESP,1957,0,1,0,0,0,"Vives Lawyers,Barcelona FC","358,452",2,2002-09-24,2003-11-19,TRUE,50,5
134,Jun Yokoyama,NA,2002,2020,JPN,1949,0,0,1,0,0,NA,NA,0,NA,NA,TRUE,71,18
135,Koffi Sylvain Mensah Attoh,"Koffi M. Attoh-Mensah, Koffi Mensah Attoh",2002,NA,TGO,1961,0,1,0,0,0,NA,"1293,4673,4672",3,2007-08-16,2017-06-20,FALSE,NA,NA
136,Léonard Nduwayo,NA,2002,2006,BDI,1945,0,0,0,0,1,"Fédération d'athlétisme du Burundi,Comité National Olympique du Burundi",NA,0,NA,NA,TRUE,61,4
137,Lin Kok Loh,NA,2002,2019,SGP,1947,0,1,0,0,0,NA,628,1,2004-06-28,2004-06-28,TRUE,72,17
138,Lino Farrugia Sacco,NA,2002,2021,MLT,1949,0,0,0,0,1,"Maltese Olympic Committee,European Tennis Association",5459,1,2018-05-11,2018-05-11,TRUE,72,19
139,Louis Muller,NA,2002,2019,NAM,1946,0,1,0,0,1,"Namibian Athletics Federation,Namibian Gymnastics Federation,Namibian NOC",NA,0,NA,NA,TRUE,73,17
140,Lucas Anderes,NA,2002,2019,CHE,1954,0,1,0,0,0,"Giroud, Anderes, Maag & Partner","1095,1273,1579,1699,2430,3510,3903,2479,4815,2225,4675,4783",12,2007-05-09,2018-01-09,TRUE,65,17
141,Luigi Ferrari Bravo,NA,2002,2002,ITA,1933,0,0,1,0,0,NA,NA,0,NA,NA,TRUE,69,0
142,Luigi Fumagalli,NA,2002,NA,ITA,1959,0,1,1,0,0,NA,"927,1173,1194, 1995,1213,1207,1448,1712, 1742,OG 08-003,1782,2170, 2171,2356,2759,3199,3665, 3666, 3667,3562,4187,3872,4402,4596,4416,4721,4720,5142,4940,5520,7242,7019, 7035,JO 20-014,6689,7840,7839,7838,1217,1287,1688,OG 08-006,1485,2476,2669,2668,3091, 3092, 3093,3139,3233,3613,3604,3953, 3954,3951,3950,3892,4408,4558,4776,4632,4581,5006,5233,5977,5779,5537,6665,7272, 7277, 7283, 7318,OG 20-003,780,714,957,835, 942,1126,1123, 1124,1008,1008-IA,1175,1155,1110,1301,1206,1204,1272,1271,1644,1548,1500,1641,1909,2019,2011,1918,1870,1817, 1844,2266,2243, 2358, 2385, 2411,2209,2140,2041,2119,2071,2098,2472,2421, 2450,2671,2645,2605,2604,2515,2479,2325,2500, 2591,2981,2913,3031,2890,2836,2817,3411,3149,3471,3147,3050,3360,3301,3389,3343, 3344, 3348, 3349,3858,3626,3762,3537,3685,3488,3477,OG 14-002,OG 14-004, 005,4360,4326,4046, 4047,4351,3903,4233,4010,4009,4008,4007,4006,4005,4193,3930,4189,4885,4492,4474,4853,4702,4643,4575,4703,4684,5455,5173,5127,5369,5282,5280,5260,5016, 5036,4927,5395,5163,6044,5807,5643,5642,5565, 5582, 5589,5747, 5748, 5749,5746,5663,5596,5754,5619,5722,5634,5733,6388,6226,6181,6525,6274,6225,6713,OG 20-005,8296,8403,6444, 6445,7457,7456,8308",193,2005-03-31,2022-06-16,FALSE,NA,NA
143,M. Raouf Najar,NA,2002,2006,TUN,1947,0,1,0,0,1,Fédération Tunisienne de Football,NA,0,NA,NA,TRUE,59,4
144,Manuel F. Bauzà Gómez,NA,2002,2006,ESP,1943,0,1,0,0,1,Fédération Catalane de tir à l'arc,NA,0,NA,NA,TRUE,63,4
145,Mark C. Baker,"C. Mark Baker,Mark Baker",2002,NA,USA,1960,0,1,0,0,0,Fulbright & Jaworski/Norton Roes Fulbright,1312,1,2008-05-16,2008-05-16,FALSE,NA,NA
146,Markus Hugo Wanger,"Markus H. Wanger,Markus Wanger",2002,NA,LIE,1955,0,1,0,0,1,Automobil Club of Switzerland (ACFL),"1832,1831,3163",3,2010-01-21,2013-12-11,FALSE,NA,NA
147,Martin Hunter,NA,2002,2023,GBR,1937,0,1,1,0,0,NA,"628,1480",2,2004-06-28,2008-05-16,TRUE,86,21
148,Martin Kirsch,NA,2002,2007,FRA,1926,0,0,0,1,0,NA,NA,0,NA,NA,TRUE,81,5
149,Martin Schimke,NA,2002,NA,DEU,1959,0,1,1,0,0,Bird & Bird,"1008,1008-IA,1043,1303,1668,1697,1758,1954,2645,2986,2762,OG 12-002,2836,3099,3258,3112,3643,3485,4776,5598,OG 18-001,6344,7239, 7261,1564,1788,OG 12-006,3329,3324, 3369,3580,3875,3874,4595,4777,4708,5127,5747, 5748, 5749,5647,5722,OG 18-006,355,354,399,461, 471, 473,830,1132,1114,1217,1413,1373,1284, 1308,1319,1213,1207,1960, 1961,1952,1838,1860,1968,2159,2226,2188,2284,2660,2430,2677,2353,2670,2670-O,2922,2835,3091, 3092, 3093,3435,3283,3707,3832, 3833,4177,4055,4319,4063,4289,4282,4846,4704,4489,4558,4658,4627, 4628, 5283,4609,4596,4426,5341,5164,5393,5006,5057,5481,4940,5356,5324,5586,6072,5920,5802,5800,5779,5537,5868,5745,6636,6557, 6663,7768,8077,8651",113,2002-04-15,2099-10-27,FALSE,NA,NA
150,Michele Bernasconi,NA,2002,NA,CHE,1963,0,1,0,0,0,NA,"701,940,893,876,1427,1426,1705,1602,1589,1568,1620,1569,1489, 1510,1471, 1486,1634,1633,1622, 1623, 1624,1544,1482,1971,1860,2018,1892,1802,1788,1991,1908,1968,2289,2132,2226,2161,2284,2128,2658,2473,2433,2671,2601,2422,2557,3026,2889,2690,2767,JO 12-009,3261,3249,3055,3055-IA,3272,3148,3852,3647, 3648,4322,4112,3962,4210,3915,4222,4189,4186,4053,4826,4794,4704,4664,4517,4705,4701,4698,5448, 5449, 5450,5393,5045,5057,5628,5683,5702,6286,6187, 6189,7030, 7051,6996, 7006,7549,8344,7156,7596,422,776,957,916,811,944,899,1123, 1124,1163,1154,1008,1008-IA,1359,1358,1301,1233, 1234,1368,1362, 1393,1318,1252,1374,1665,1643,1636,1590,1675,1565,1551,1513,1495,1494,1461, 1462,1458-PA,1615,1697,1912, 1913,1870,1817, 1844,1759, 1778,1869,1984,2252,2187,2235,2071,2316,2193,2660,2539,2539-IA,2472,2426,2425,2681,2563,3013,2922,3031,2707,2835,3411,3273,3471,3318,3351,3206,3140,3626,3573,3525,3524,3701,3523,3955, 3956,3894,4062,4355,4049,3881,3930,3981,4875,4838,4837,4836,4482,4871,4516,4889,4378,5164,5128,5359,5290,5278,5315, 5316,5475,6075,5634,6557, 6663,7519,7714,997,848,1320, 1321,1219,1519, 1520,2000,1810, 1811,2139,2484,2499,2635,2544,2494,3032,OG 12-006,OG 12-001,3395,3341,3082,3639,3611,3907,4831,5117,5916,6517",214,2003-03-10,2099-10-27,FALSE,NA,NA
151,Monty Hacker,NA,2002,2019,ZAF,1934,0,1,0,0,1,Fairbridges Wertheim Becker,4716,1,2017-03-09,2017-03-09,TRUE,85,17
152,Neil John Young,NA,2002,NA,AUS,1952,0,1,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA
153,Oliver Popplewell,NA,2002,2019,NZL,1927,0,0,0,0,0,NA,2039,1,2010-03-30,2010-03-30,TRUE,92,17
154,Olli Juhani Puntila,NA,2002,2002,FIN,1939,0,1,0,0,1,"Finnish Speed Skating Association,Finnish National Olympic Committee",NA,0,NA,NA,TRUE,63,0
155,Omar Alejandro Vergara,NA,2002,2019,ARG,1963,0,1,0,0,0,"Confédération Sudaméricaine descrime,Fédération dArgentine descrime","983, 984",1,2006-07-12,2006-07-12,TRUE,56,17
156,Pantelis Dedes,Pandelis I. Dedes,2002,2015,GRC,1936,0,1,0,0,0,NA,"432,678,640,OG 04-007,1533,2597,2596,2592,3597,OG 04-001,1274,1348,1448,1634",14,2003-05-27,2014-08-22,TRUE,79,13
157,Pathmanaban Selvadurai,NA,2002,2019,SGP,1933,0,1,0,0,0,Rodyk & Davidson,NA,0,NA,NA,TRUE,86,17
158,Patrice Brunet,Patrice M. Brunet,2002,2023,CAN,1969,0,1,0,0,1,"Canadian Olympic Committee,ITU","3832, 3833,4845,4631",3,2015-06-19,2017-05-05,TRUE,54,21
159,Paul E. George,NA,2002,2022,USA,1941,0,1,0,0,1,"USOC,ISU,IOC,US Hockey Foundation",3285,1,2014-05-13,2014-05-13,TRUE,81,20
160,Pekka Ilmivalta,NA,2002,2023,FIN,1970,0,1,0,0,1,"Finnish Hockey Players’ Association,Finnish Athletes’ Union,International Ice Hockey Players’ Association,Finnish Ice Hockey Association","1914,ADD 5",2,2010-02-01,2020-01-28,TRUE,53,21
161,Per Svensson,NA,2002,2002,SWE,1943,0,1,0,0,1,FILA,NA,0,NA,NA,TRUE,59,0
162,Peter Alkalay,NA,2002,2006,USA,1948,0,1,0,0,0,"McLaughlin & Stern,IAAF,USOC",NA,0,NA,NA,TRUE,58,4
163,Peter Dirk Siemsen,NA,2002,2019,BRA,1929,0,1,0,0,1,"Dannemann, Siemsen, Bigler & Ipanema Moreira,ISAF",1084,1,2006-10-13,2006-10-13,TRUE,90,17
164,Philippe Jestaz,NA,2002,2019,FRA,1936,0,0,1,0,0,NA,NA,0,NA,NA,TRUE,83,17
165,Pierluigi Bertani,NA,2002,2006,ITA,1942,0,1,0,0,0,NA,NA,0,NA,NA,TRUE,64,4
166,Pierre Collomb,NA,2002,2006,FRA,1942,0,0,1,0,1,"Comité National Olympic et Sportif Français (CNOSF),Fédération française de basketbal",NA,0,NA,NA,TRUE,64,4
167,Pierre Ducret,NA,2002,2002,CHE,1980,0,1,0,0,0,"Ducret Carrard,Fédération suisse d'escrime",NA,0,NA,NA,TRUE,22,0
168,Quentin Byrne-Sutton,NA,2002,2015,CHE,1959,0,1,1,0,0,NA,"396,1413,1399,1631,1631-O,1557,1557-O,1557-R,1551,1479,1470,1898,1759, 1778,2229,2275,2586,2490,2426,2384, 2386,2959,2791,3024,3278,3320,3452,3488,1043,1319,1569,2011,2307,2041,2474,2360, 2392,3207,373,450,769,965,927,1164,1130,1142,1298, 1299, 1300,1298, 1299, 1300-O,1258,1381,1251,1377,1668,1585, 1586,1783,2101,2461,3338,3155,3519, 3520",57,2002-09-30,2015-06-02,TRUE,56,13
169,Rafik Dey Daly,NA,2002,2011,TUN,1954,0,1,0,0,1,"Bulgarian Sport Club for car racing,Bulgarian mountain bike sport federation,Bulgarian Football Union","1677,1631,1631-O,1973",4,2008-08-20,2010-02-10,TRUE,57,9
170,Raj Parker,NA,2002,2006,GBR,1960,0,1,0,0,0,Freshfields,"385,940,876,973,927,1165,1023",7,2003-01-23,2007-04-03,TRUE,46,4
171,Ralph M. Zloczower,Ralph Zloczower,2002,2010,CHE,1933,0,1,0,0,1,"Association Suisse de Curling,Fédération Suisse de Football","1622, 1623, 1624,1699,2077",3,2008-10-02,2010-12-10,TRUE,77,8
172,Ram Kumar Anand,NA,2002,2006,IND,1943,0,1,0,0,1,Indian Olympic Association,NA,0,NA,NA,TRUE,63,4
173,Raymond Ranjeva,NA,2002,2022,MDG,1942,0,0,0,0,0,NA,534,1,2004-04-20,2004-04-20,TRUE,80,20
174,Richard A. Banda,NA,2002,2007,MWI,1937,0,1,0,1,1,"Football Association of Malawi,Olympic and Commonwealth Games Association of Malawi",NA,0,NA,NA,TRUE,70,5
175,Richard Ashenheim,NA,2002,2007,JAM,1927,0,1,0,0,1,"Jamaica Amateur Athletic Association,IAAF",NA,0,NA,NA,TRUE,80,5
176,Robert Bennett,NA,2002,2007,USA,1939,0,1,0,0,0,"Skadden Arp, Slate Meagher & Flom",NA,0,NA,NA,TRUE,68,5
177,Robert Reid,"James Robert Reed,Robert J. Reid",2002,NA,GBR,1943,0,1,0,0,0,NA,"1483,7768",2,2008-05-20,2022-03-16,FALSE,NA,NA
178,Samir Saleh,NA,2002,2002,LBN,1932,0,1,0,0,0,NA,NA,0,NA,NA,TRUE,70,0
179,Samuel D. Cheris,Samuel Cheris,2002,2006,USA,1945,0,1,0,0,1,"Hall & Evans,USFA,FIE",NA,0,NA,NA,TRUE,61,4
180,Sangeeta Mandal,NA,2002,2019,IND,1963,1,1,0,0,0,Fox Mandal & Co,3828,1,2015-09-17,2015-09-17,TRUE,56,17
181,Shaul Aloni,NA,2002,2002,ISR,1929,0,1,0,0,0,NA,NA,0,NA,NA,TRUE,73,0
182,Simon A. Rofe,"Simon Rofe,A Simon Rofe",2002,2007,AUS,1953,0,1,0,0,1,NA,NA,0,NA,NA,TRUE,54,5
183,Smiljko Sokol,NA,2002,2002,HRV,1940,0,0,1,1,1,"Croatian Olympic Committee,Croatian tennis federation",NA,0,NA,NA,TRUE,62,0
184,Taïmour Mostafa-Kamel,NA,2002,2007,EGY,1941,0,0,0,1,1,Fédération égyptienne de volley-ball,NA,0,NA,NA,TRUE,66,5
185,Toshio Sawada,NA,2002,2016,JPN,1933,0,0,1,0,0,NA,NA,0,NA,NA,TRUE,83,14
186,Ulrich Haas,NA,2002,2023,"CHE,DEU",1964,0,0,1,0,0,NA,"1024,1395,1362, 1393,1741,1519, 1520,1718, 1719, 1720, 1721, 1722, 1723, 1724,1577,2011,1870,2311, 2312,2083,2479,2325,2360, 2392,2821,2688,3256,3147,3080,3735,3831,3703,3588,JO 16-027,4632,4465,4457,4456,4455,4454,OG 16-023,OG 16-018,5373,5144,5163,5751,7605,7417,7252,6918,7519,7977,7717,848,1018,1658,1744,1588, 1629,1576, 1628,1621,1621-O,1881,1880, 1881,1971,2018,1985,1983,1879,1782,1755,1752, 1753,2296,2245,2174,2170, 2171,OG 10-002,OG 10-001,2562,2384, 2386,2983,2889,2822,2784,2759,2785, 2790,2742,2854,2817,3094,3047,3537,3670-IA,3559,3744, 3766,3813,3793,4184,4129,3925,4222,4312,4248,4783,4745,4707,4502,4903,5003,5282,5807,6007,5615,5733,5898,6463, 6464,6483,6432,7019, 7035,6861,6275,6275-PA,8229,8156,7983,507,455,847,831,1180,1100,1062,1041,1181,1322,1705,1513,1471, 1486,1583, 1584,1639,2187,2506,2612,2912,2747,2720,3067,3055,3055-IA,3327, 3335,3274,3075,3910,4162,3879,4304,3959,4053,4826,4778,OG 16-009,4817-IA,4697,4458,4416,OG 16-011,OG 16-005, 007,4602,4721,4720,4519,4518,5111,5054,5299,5272,5178,5045,5333,5172,5063,6017,5534,5808,5853,6669,6367,6210, 6277,6096,6294,6694,7356,6920,7536,8321,8277,5523,5522,6594,8221,7915,8758, 8759,9078",192,2003-08-21,2022-11-07,TRUE,59,21
187,Vince Bruce,NA,2002,2002,AUS,1942,0,1,0,0,0,NA,NA,0,NA,NA,TRUE,60,0
188,William J. Warren,William Harman,2002,2006,CAN,1939,0,1,0,0,1,"Warren Tettensor,Canadian Olympic Association",NA,0,NA,NA,TRUE,67,4
189,Yuji Iwasawa,NA,2002,2006,JPN,1954,0,0,1,0,0,NA,NA,0,NA,NA,TRUE,52,4
190,François Claude Dikoume,François C. Dikoume,2002,NA,CMR,1946,0,1,1,1,0,NA,7329,1,2021-04-13,2021-04-13,FALSE,NA,NA
191,Alberto Palomar Olmeda,NA,2003,2007,ESP,1958,0,0,1,0,0,NA,NA,0,NA,NA,TRUE,49,4
192,Anthony Di Francesco,NA,2003,2003,AUS,1960,0,1,0,0,1,"Soccer NSL,Perth Glro",NA,0,NA,NA,TRUE,43,0
193,Armand Colombani,NA,2003,2003,FRA,1963,0,1,0,1,1,"Fédération tahitienne de football,OFC",NA,0,NA,NA,TRUE,40,0
194,Bard Racin Meltvedt,NA,2003,2010,NOR,1958,0,1,0,0,0,DLA Piper,"1272,1271,1997, 1998,2225,777,659,1055,1029,1429, 1442,1232,1897",11,2005-01-31,2010-11-23,TRUE,52,7
195,Catherine Anne Davani,NA,2003,2016,PNG,1960,1,1,0,0,1,PNG Football Association,"2425,AG 14-001,OG 16-004,AG 14-003,OG 16-018,OG 16-008,OG 16-026",7,2012-03-08,2016-08-14,TRUE,56,13
196,Dato' Taha Ariffin,NA,2003,2008,MYS,1943,0,1,0,1,1,Football Association Mala,NA,0,NA,NA,TRUE,65,5
197,Decio Neuhaus,NA,2003,2007,BRA,1961,0,1,0,0,0,NA,NA,0,NA,NA,TRUE,46,4
198,Emmanuel Asamoa Owusu-Ansah,NA,2003,2006,GHA,1939,0,0,0,0,1,Ghana Football Association,NA,0,NA,NA,TRUE,67,3
199,Eugenie Buckley,NA,2003,2006,AUS,1971,1,1,1,0,1,"Ebsworth & Ebsworth,Australian Professional Footballers’ Association","1081,1020",2,2006-01-24,2006-04-20,TRUE,35,3
200,Goetz Eilers,NA,2003,2015,DEU,1941,0,1,0,0,0,NA,"527,780,808,1125,1609,1588, 1629,1576, 1628,1575, 1627,1773, 1774,2380,2654,640,797,1175,1589,1521,1997, 1998,1784,1898,2069,2597,2596,2738,3261,3682",25,2004-04-21,2015-07-14,TRUE,74,12
201,Greg Woods,NA,2003,2003,AUS,1947,0,1,0,0,0,Turner Freeman Solicitors,NA,0,NA,NA,TRUE,56,0
202,Hilary Toa Ngwera,NA,2003,2003,VUT,1966,0,1,0,1,0,NA,NA,0,NA,NA,TRUE,37,0
203,Jean-Jacques Bertrand,NA,2003,2011,FRA,1949,0,1,0,0,0,NA,"811,1298, 1299, 1300,1298, 1299, 1300-O,1274,1267,1644,1491,1960, 1961,761,965,1180,1153,1519, 1520,1518,1668,1897,1828, 1829,1310",18,2005-10-31,2010-11-23,TRUE,62,8
204,Jian Zhang,NA,2003,2003,CHN,1965,0,0,0,1,0,NA,NA,0,NA,NA,TRUE,38,0
205,João Nogueira Da Rocha,João Nogueira da Rocha,2003,NA,PRT,1963,0,1,0,0,0,NA,"2029,2563,2981,3062,3262,3417,3955, 3956,3896,3975,3981,4719,4718,5401,5334,5232,5227,6050,6045,5881,5513,6209,7221,6694,7714,1196,1741,2968,3323,4885,4693,5374,5219,5031,6029,5799,6502,7370,6171, 6175,3785,4167,4166,4741,5144,6639,6996, 7006,7239, 7261",46,2007-07-19,2022-06-07,FALSE,NA,NA
206,José J. Pintó,José Juan Pintó Sala,2003,NA,ESP,1951,0,1,0,0,0,NA,"605,635,902, 903,916,916-O2,1180,1158, 1160, 1161,1157,1018,1359,1358,1665,1688,1595,1625,1639,1909,2234,2187,2159,2145, 2146, 2147,2308, 2335,2277,2141, 2142,2141, 2142-IA,2193,2112,2660,2344,2561,2423,2377,2377-O,2682,2559,2983,2969,3041,2802,2689,2742,2817,3172,3149,3067,3047,3754,3707,3762,3620,3602,4162,3892,4672,4783,4707,OG 16-021,OG 16-019,OG 16-011,4602,OG 16-026,4519,4518,5012,5011,5172,5622,530,780,553,691,642,893,955, 956,889,1119,1194, 1995,1370, 1376,1370, 1376-O,1251,1593,1488,1544,2104,2172,2072,OG 10-004,OG 10-003,2473,2616,2354,2750,3360,3199,3735,3702,3516,4326,4083,4351,4673,4517,4471,JO 16-027,4416,4650,5166, 5405,5711,5683,5888,6994,6993,6992,6991,6990,8061,8060,983, 984,1426,1643,1456,1634,1633,1621,1621-O,1503,1984,2132,2539,2539-IA,2380,2646,2439,2557,2449,2356,2707,3123,3107,3089,3432,3306,3746,3628,3625,4327,4187,3894,4606,4858,5311,5200,5799,5647,5838,5751,6745,6861,7727,6809, 6843",160,NA,NA,FALSE,NA,NA
207,José Maria Borreguero Gomez,NA,2003,2003,ESP,1952,0,1,0,0,0,NA,NA,0,NA,NA,TRUE,51,0
