arb_id,name,also_known_as,listed_first,listed_last,country,born_year,female,attorney,academic,public_bodies,sport_bodies,associated_with,case_nums,n_cases,first_appointment,latest_appointment,delisted,delisted_age,years_listed
24,Agustin C. Arroyo,NA,1996,2001,ECU,1923,0,0,0,1,1,NA,132,1,1996-03-15,1996-03-15,TRUE,78,5
25,Christopher L. Campbell,Christopher Campbell,1996,NA,USA,1954,0,1,0,0,1,USOC,"OG 96-005,OG 96-002,649,645,951,1473,1985,2696,3151,4558,161,2398,2398-PA",13,1996-07-27,2016-09-29,FALSE,NA,NA
26,David Dixon,NA,1996,2001,GBR,1970,0,1,0,0,0,NA,122,1,1996-03-05,1996-03-05,TRUE,31,5
27,Hugh L. Fraser,NA,1996,2023,CAN,1952,0,0,0,0,1,Sports Federation of Canada,"5794, 5798,OG 96-001,OG AD 16-007,OG AD 16-001,1416,2107,3370,3572,3571,OG AD 16-008,OG AD 16-004,5296,5583,6552",14,1996-07-22,2021-05-21,TRUE,71,27
28,Jean-Pierre Karaquillo,NA,1996,2022,FRA,1943,0,0,1,0,0,NA,"141,423,1163,1828, 1829,2494,290,431,1082, 1104,3652,147,253,340,358,958,958-O",15,1996-04-22,2015-06-05,TRUE,79,26
29,John Faylor,NA,1996,2022,"USA,DEU",1945,0,1,0,0,0,"Mayer, Brown, Rowe & Maw","150,2296,847,1291,1373,1799,2090,2843,157,192,432,918,1025,1027,1427,1577,1483,1854,1759, 1778,1752, 1753,2873,4049,4255,4631,OG 18-006",25,1996-06-28,2018-02-14,TRUE,77,26
30,John S. Winneke AC,NA,1996,2014,AUS,1938,0,0,0,0,0,NA,"1311,1539,153",3,1996-07-22,2008-05-27,TRUE,76,18
31,Michael Beloff,NA,1996,2022,GBR,1942,0,1,1,0,0,NA,"218,211,355,354,373,1055,1177,1502,1455,1996,1988,1910,2039,2119,2058,2071,2077,2621,2452,2913,2922,3206,3119,3858,3626,3537,3559,4233,4172,4919,4658,OG AD 16-006,OG AD 16-003,5003,5320,5296,5282,5977,6069,5583,6388,7579, 7580,8865, 8866, 8867, 8868,223,1158, 1160, 1161,1152,1298, 1299, 1300,1298, 1299, 1300-O,OG 08-007,2315,2518,2436,2804,3383, 3384, 3385,3251,3437,3630,3572,3571,3487,4648,5393,5086,5017,5016, 5036,4998,4987,4986,4985,4969,4968,4927,5057,5090,6072,5734,5596,5885, 5936,5754,6669,7526, 7559,8031,7596,8871,8709,8708,OG 96-005,OG 96-002,149,208,184,OG 00-014,OG 00-009,OG 00-002,388,CG 02-001,482,678,OG 04-008,OG 04-006,OG 04-001,594,704,829,1405, 1418,1453, 1469,1453-O,OG 08-003,1768,2172,2090,2235,2162,2219,2476,2917,2767,2759,2831,3324, 3369,3318,3124,3669,3516,3604,4190,4163,4059,3892,3905,4902,4840,4776,4761,4758,4746,4632,4534,OG AD 16-010,OG AD 16-007,4657,OG AD 16-001,4581,5354,5155,5114,5099,5546, 5571,6001,6288,5913",151,1996-07-27,2022-11-25,TRUE,80,26
32,Mingzhong Su,NA,1996,2001,CHN,NA,0,0,1,0,0,NA,"208,OG 96-005,OG 96-002",3,1996-07-27,1998-12-22,TRUE,NA,5
33,Odd Seim-Haugen,NA,1996,2014,NOR,1937,0,1,0,0,1,FIS,"142,317,1956",3,1996-02-14,2010-02-16,TRUE,77,18
34,Richard W. Pound,NA,1996,2022,CAN,1942,0,1,1,0,1,"Stikeman Elliott,IOC,WADA,ICAS,Canadian Olympic Committee","161,132",2,1996-03-15,1999-08-04,TRUE,80,26
